LocationID,StateAbbr,StateDesc,LocationName,TotalPopulation,Geolocation,States,Counties
51740,VA,Virginia,Portsmouth,95094,POINT (-76.3569725 36.8593388),40.0,936.0
51157,VA,Virginia,Rappahannock,7260,POINT (-78.1688241 38.6845215),40.0,2868.0
51175,VA,Virginia,Southampton,17636,POINT (-77.1038135 36.7200678),40.0,2875.0
51670,VA,Virginia,Hopewell,22375,POINT (-77.2989443 37.2910098),40.0,2914.0
51149,VA,Virginia,Prince George,38686,POINT (-77.2209931 37.1873255),40.0,2849.0
51101,VA,Virginia,King William,17641,POINT (-77.0910539 37.7082604),40.0,2812.0
51049,VA,Virginia,Cumberland,9933,POINT (-78.2528364 37.5201891),40.0,911.0
51163,VA,Virginia,Rockbridge,22757,POINT (-79.4477537 37.8145174),40.0,2870.0
51685,VA,Virginia,Manassas Park,18004,POINT (-77.442323 38.7693983),40.0,2941.0
51053,VA,Virginia,Dinwiddie,28688,POINT (-77.6354922 37.0734984),40.0,2768.0
51047,VA,Virginia,Culpeper,53569,POINT (-77.9564758 38.4859303),40.0,2766.0
51083,VA,Virginia,Halifax,33633,POINT (-78.9396142 36.766461),40.0,2779.0
51800,VA,Virginia,Suffolk,93913,POINT (-76.6347808 36.6971573),40.0,2950.0
51680,VA,Virginia,Lynchburg,81561,POINT (-79.1954582 37.3990161),40.0,2940.0
51025,VA,Virginia,Brunswick,16037,POINT (-77.8614832 36.7642043),40.0,908.0
51069,VA,Virginia,Frederick,91119,POINT (-78.2638291 39.2036601),40.0,2774.0
51111,VA,Virginia,Lunenburg,12267,POINT (-78.2405281 36.9455547),40.0,2816.0
51197,VA,Virginia,Wythe,28620,POINT (-81.0830007 36.8998674),40.0,925.0
51093,VA,Virginia,Isle of Wight,37725,POINT (-76.7075688 36.9014184),40.0,2809.0
51595,VA,Virginia,Emporia,5257,POINT (-77.5359753 36.696182),40.0,929.0
51035,VA,Virginia,Carroll,30074,POINT (-80.7278307 36.7319632),40.0,909.0
51590,VA,Virginia,Danville,39869,POINT (-79.4080707 36.5833337),40.0,2909.0
51775,VA,Virginia,Salem,25340,POINT (-80.0552407 37.2853329),40.0,2948.0
51057,VA,Virginia,Essex,10943,POINT (-76.9337475 37.936389),40.0,2769.0
51640,VA,Virginia,Galax,6296,POINT (-80.9143083 36.6656397),40.0,931.0
51017,VA,Virginia,Bath,4119,POINT (-79.7312032 38.0683679),40.0,2753.0
51059,VA,Virginia,Fairfax,1150847,POINT (-77.2732524 38.8295203),40.0,2770.0
51063,VA,Virginia,Floyd,15777,POINT (-80.3502662 36.9314331),40.0,912.0
51013,VA,Virginia,Arlington,240119,POINT (-77.1007034 38.8783374),40.0,907.0
51121,VA,Virginia,Montgomery,98391,POINT (-80.3877942 37.1755376),40.0,917.0
51007,VA,Virginia,Amelia,13014,POINT (-77.9774619 37.3319271),40.0,3221.0
51137,VA,Virginia,Orange,37695,POINT (-78.0110923 38.2493265),40.0,2844.0
51009,VA,Virginia,Amherst,31667,POINT (-79.1546672 37.6293036),40.0,2750.0
51073,VA,Virginia,Gloucester,37459,POINT (-76.5235051 37.4035413),40.0,2776.0
51173,VA,Virginia,Smyth,30090,POINT (-81.5397861 36.8423183),40.0,2874.0
51109,VA,Virginia,Louisa,38132,POINT (-77.959795 37.9727041),40.0,916.0
51760,VA,Virginia,Richmond City,232226,POINT (-77.4760085 37.531399),40.0,2947.0
51620,VA,Virginia,Franklin City,7833,POINT (-76.9413956 36.6840142),40.0,2911.0
51580,VA,Virginia,Covington,5639,POINT (-79.9854337 37.7810603),40.0,2908.0
51155,VA,Virginia,Pulaski,33935,POINT (-80.7134439 37.0633853),40.0,2851.0
51710,VA,Virginia,Norfolk,242803,POINT (-76.2446413 36.9230149),40.0,2943.0
51165,VA,Virginia,Rockingham,82346,POINT (-78.8853213 38.5075848),40.0,2871.0
51099,VA,Virginia,King George,27381,POINT (-77.1626355 38.2771799),40.0,2811.0
51115,VA,Virginia,Mathews,8766,POINT (-76.2688078 37.4253479),,2818.0
51087,VA,Virginia,Henrico,333766,POINT (-77.300333 37.4375205),40.0,2781.0
51600,VA,Virginia,Fairfax City,23429,POINT (-77.2990252 38.8531833),40.0,2910.0
51510,VA,Virginia,Alexandria,158726,POINT (-77.0836695 38.8192511),40.0,2904.0
51005,VA,Virginia,Alleghany,14701,POINT (-80.008669 37.7879048),40.0,3220.0
51133,VA,Virginia,Northumberland,12069,POINT (-76.3796872 37.8569736),40.0,2843.0
51037,VA,Virginia,Charlotte,11820,POINT (-78.6585682 37.0090421),40.0,2763.0
51145,VA,Virginia,Powhatan,30148,POINT (-77.9128553 37.5494041),40.0,920.0
51119,VA,Virginia,Middlesex,10569,POINT (-76.5280819 37.6069753),40.0,2840.0
51075,VA,Virginia,Goochland,24431,POINT (-77.9176263 37.7188141),40.0,913.0
51031,VA,Virginia,Campbell,55304,POINT (-79.0954282 37.2101515),40.0,2759.0
51159,VA,Virginia,Richmond,9071,POINT (-76.7305609 37.9428936),40.0,921.0
51520,VA,Virginia,Bristol,17329,POINT (-82.1575641 36.6169541),40.0,2905.0
51011,VA,Virginia,Appomattox,16043,POINT (-78.8109404 37.3707253),40.0,2751.0
51830,VA,Virginia,Williamsburg,15259,POINT (-76.7081925 37.269481),40.0,939.0
51079,VA,Virginia,Greene,20131,POINT (-78.4701629 38.2979805),40.0,2778.0
51179,VA,Virginia,Stafford,156748,POINT (-77.4580475 38.4230836),40.0,2877.0
51036,VA,Virginia,Charles City,6821,POINT (-77.05417 37.3610537),40.0,2762.0
51700,VA,Virginia,Newport News,179062,POINT (-76.5219802 37.0761357),40.0,2942.0
51135,VA,Virginia,Nottoway,15160,POINT (-78.0538655 37.1411668),40.0,919.0
51167,VA,Virginia,Russell,26647,POINT (-82.0959342 36.9334198),40.0,2872.0
51683,VA,Virginia,Manassas,40869,POINT (-77.4826328 38.7468077),40.0,933.0
51191,VA,Virginia,Washington,53695,POINT (-81.9503218 36.7478138),40.0,2900.0
51105,VA,Virginia,Lee,23238,POINT (-83.1301117 36.7017206),40.0,2814.0
51735,VA,Virginia,Poquoson,12257,POINT (-76.3035337 37.1283599),40.0,
51183,VA,Virginia,Sussex,10925,POINT (-77.2597319 36.9266454),40.0,2878.0
51103,VA,Virginia,Lancaster,10618,POINT (-76.4126628 37.7048433),40.0,2813.0
51089,VA,Virginia,Henry,50309,POINT (-79.9806618 36.6206119),40.0,2782.0
51043,VA,Virginia,Clarke,14622,POINT (-77.9907479 39.1153068),40.0,910.0
51540,VA,Virginia,Charlottesville,46950,POINT (-78.4853806 38.0376579),40.0,2906.0
51125,VA,Virginia,Nelson,14755,POINT (-78.8834397 37.7890795),40.0,2841.0
51161,VA,Virginia,Roanoke,94509,POINT (-80.1912371 37.330792),40.0,2869.0
51077,VA,Virginia,Grayson,15493,POINT (-81.215324 36.6522288),40.0,2777.0
